Rotor 1 : vbmrotor_1
Iteration, Elapsed Time, Thrust [N], Torque [Nm], Power [W], Roll_Moment [Nm], Pitch_Moment [Nm], X_Force [N], Y_Force [N]
167, 0, 25.24935, -7.22715, 578.172, -2.892885e-06, -2.397441e-05, -0.0001059339, 0.0001056648
168, 0, 25.24937, -7.227154, 578.1724, -8.052286e-07, -2.364011e-05, -9.041117e-05, 0.0001000158
169, 0, 25.24938, -7.227159, 578.1727, 1.090034e-06, -2.340736e-05, -7.434453e-05, 9.433438e-05
170, 0, 25.2494, -7.227164, 578.1731, 3.624077e-06, -2.311252e-05, -5.512367e-05, 8.878233e-05
171, 0, 25.24942, -7.227168, 578.1735, 5.847797e-06, -2.317765e-05, -3.807552e-05, 8.521391e-05
172, 0, 25.24944, -7.227173, 578.1738, 8.023961e-06, -2.319189e-05, -2.160462e-05, 8.166206e-05
173, 0, 25.24945, -7.227177, 578.1742, 1.035612e-05, -2.31606e-05, -4.48268e-06, 7.775581e-05
174, 0, 25.24947, -7.227181, 578.1745, 1.237862e-05, -2.333787e-05, 1.089779e-05, 7.493963e-05
175, 0, 25.24948, -7.227184, 578.1747, 1.362962e-05, -2.373045e-05, 2.204326e-05, 7.350939e-05
176, 0, 25.24949, -7.227186, 578.1749, 1.405747e-05, -2.4259e-05, 2.877015e-05, 7.320696e-05
177, 0, 25.24949, -7.227187, 578.175, 1.380122e-05, -2.487535e-05, 3.116147e-05, 7.417877e-05
178, 0, 25.2495, -7.227189, 578.1751, 1.389885e-05, -2.542633e-05, 3.573037e-05, 7.444164e-05
179, 0, 25.2495, -7.227191, 578.1753, 1.425548e-05, -2.572072e-05, 4.21196e-05, 7.370794e-05
180, 0, 25.24951, -7.227192, 578.1754, 1.392572e-05, -2.637034e-05, 4.345081e-05, 7.546065e-05
181, 0, 25.24951, -7.227193, 578.1754, 1.318444e-05, -2.685433e-05, 4.203909e-05, 7.711087e-05
182, 0, 25.24951, -7.227193, 578.1754, 1.231266e-05, -2.727567e-05, 3.933538e-05, 7.89607e-05
183, 0, 25.24951, -7.227193, 578.1755, 1.162944e-05, -2.751036e-05, 3.804042e-05, 7.962324e-05
184, 0, 25.24951, -7.227194, 578.1755, 1.077867e-05, -2.784371e-05, 3.508846e-05, 8.104643e-05
